chr8	83400695	83406476
chr12	40748417	40754293
chr15	72644828	72671535
chr15	74100239	74111970
chr15	89345381	89349583
chr16	21565377	21569369
chr1	26899174	26915419
chr10	58613623	58656212
chr15	74055086	74056062
chr16	21286379	21487844
chr16	22692341	22980280
chr19	24410366	24906294
chr1	168721415	168746430
chr15	60762880	60827026
chr15	89347175	89393667
chr16	21307387	21537381
chr16	22688789	22749389
chr6	67239767	67399372
chr8	125873844	126007706
chr9	127163926	127287255
chr22	27723398	27808850
chr1	162321597	162326478
chr6	89988383	89993561
chr7	118960057	118965564
chr8	136597339	136601100
chr11	40971117	40978112
chr15	72634619	72644756
chr16	21582846	21594041
chrX	103689015	103993425
chrX	104047292	104393255
chrX	149306044	149597277
chrX	149720787	150051200
chr8	116753718	116782195
chr11	47564787	47575498
chr14	71158830	71178035
chr15	66294897	66301992
chr15	72578639	72587622
chr15	74040927	74100741
chr16	21381089	21503745
chr16	22678886	22687097
chr3	48610939	48613962
chr6	382098	400373
chr15	60803610	60818773
chr16	15326397	15387168
chr16	21397192	21511856
chr19	24361984	24897185
chr22	43735622	43741789
