chr4	69433762	69460859	BLM
chr7	27805875	27830230	BLM
chr2	42939187	42968966	BLM
chr5	28837749	28919179	BLM
chr10	119439061	119446984	BLM
chr1	243568151	243617035	BLM
chrX	101384807	101412723	BLM
chr3	127687441	127761698	BLM
chr6	102154428	102173272	BLM
chr8	8112440	8181595	BLM
chr11	117191867	117227050	BLM
chr16	22699163	22762464	BLM
chrX	2760342	2805610	BLM
chr1	36929226	36937559	BLM
chr2	59051419	59374278	BLM
chr4	63518678	63573588	BLM
chr10	22387916	22432131	BLM
chr17	65889001	65895348	BLM
chr6	80205105	80226429	BLM
chr9	5437529	5457475	BLM
chr12	94894344	94930066	BLM
chr2	6426662	6507943	BLM
chr7	151532577	151704392	BLM
chr13	109684278	109782743	BLM
chr19	38910599	38915041	BLM
chr6	21006987	21213160	BLM
chr12	101864290	101884177	BLM
chr1	61174965	61200627	BLM
chr4	115980821	116124585	BLM
chr7	75473513	75547267	BLM
chr10	32436515	32587770	BLM
chr19	6098523	6125772	BLM
chr6	115433699	115546180	BLM
chr9	92695605	92774577	BLM
chr13	69605832	69684515	BLM
chr1	199975224	200106396	BLM
chr8	7046321	7365558	BLM
chr5	18247543	18343992	BLM
chr8	76012839	76153237	BLM
chr11	82086238	82115157	BLM
chrX	4257453	4322819	BLM
chr3	40548467	40576194	BLM
chr8	8112440	8181595	BLM
chr11	117191867	117227050	BLM
chr16	22699163	22762464	BLM
chrX	2760342	2805610	BLM
chr1	36929226	36937559	BLM
chr2	59051419	59374278	BLM
chr4	63518678	63573588	BLM
chr10	22387916	22432131	BLM
chr17	65889001	65895348	BLM
chr2	221898054	222090270	BLM
chr8	14870988	14945818	BLM
chr2	112514922	112626300	BLM
chr8	70948316	70980496	BLM
chr14	92636177	92681510	BLM
chr3	170917532	170921601	BLM
chr11	77023334	77072580	BLM
chr1	202812185	203017161	BLM
chr3	109019047	109078046	BLM
chr5	138171286	138201619	BLM
chr8	7102180	7475603	BLM
chr11	95834923	95985183	BLM
chr21	23557751	23643768	BLM
chr2	163213874	163293370	BLM
chr5	132202779	132263570	BLM
chr12	116719659	116743669	BLM
chr10	63930207	63935932	BLM
chr17	38419788	38451000	BLM
chr13	109448161	109468337	BLM
chr2	4962703	5089860	BLM
chr5	176456929	176562279	BLM
chr8	34899752	34908755	BLM
chr13	59086444	59095849	BLM
chrX	134343805	134430390	BLM
