chr9	130805438	130809654
chr12	31974882	32007129
chr15	60812995	60817671
chr15	89349658	89365392
chr16	21558869	21592002
chr8	7118540	7157653
chr8	8253411	8276607
chr9	130803117	130810231
chr13	88475986	88482186
chr15	72631700	72647353
chr15	74059034	74064881
chr16	14534418	14802295
chr16	15325952	15556625
chr16	21397808	21508168
chr16	28297938	28473748
chr16	28860324	28880467
chr22	23288205	23294714
chrX	103653654	103846573
chrX	104046942	104141717
chr4	145126073	145163771
chr9	130804558	130810293
chr15	72618111	72673028
chr15	74065998	74101965
chr16	21370280	21500383
chr16	22685548	22712330
chr22	23285765	23297459
chr2	234566084	234637628
chr6	122801425	122999130
chr8	99446636	99449834
chr8	109990100	110016051
chr4	93635010	93661217
chr8	77757419	77819162
chr9	67486894	68509054
chr15	72692956	72704137
chr15	74062810	74080308
chr16	21328851	21479477
chr16	22698346	22738361
chr2	210740093	210864098
chr13	72838579	73070265
chr16	10645368	10671513
