chr6	802514	874733
chr9	130784026	130824964
chr10	80930769	80937950
chr13	99987871	99999288
chr15	89346693	89349831
chr16	22649999	22677746
chr22	23287415	23334467
chrX	152837269	152909576
chr1	5638888	5675785
chr1	6578036	6611535
chr1	163815406	163824274
chr2	110934953	111028937
chr3	63271914	63308623
chr7	6491710	6515405
chr9	67823640	68354428
chr10	118928106	118931993
chr12	24948999	24956523
chr13	105571905	105589336
chr15	72606750	72673756
chr15	74067375	74115944
chr15	89907810	89921283
chr16	21361082	21499210
chr2	99132856	99133979
chr9	130805438	130810599
chr12	1735281	1758377
chr15	72671760	72678562
chr15	74015852	74024200
chr16	21209848	21509513
chr16	22698395	22823569
chr16	28535989	28538425
chr19	27398985	27849903
chr22	23289553	23303454
chr1	169711319	169856855
chr2	79909180	79946382
chr2	145227922	145273641
chr3	108064290	108184391
chr3	119845442	119915479
chr4	70509141	70576530
chr4	183015173	183033292
chr5	137139620	137158295
chr5	161227616	161292380
chr6	121225194	121503865
chr7	83009110	83083554
chr8	11584791	11652241
chr9	17824531	17865004
chr9	129399043	129415815
chr12	46387120	46430663
chr13	104149508	104259980
chr18	38960829	39015881
chrX	47954718	48027656
chrX	149168171	149212638
chr2	45490582	45519880
chr4	37469491	37478589
chr9	67824167	68337700
chr12	102875331	102897670
chr14	80704208	80712958
chr16	68746312	68755150
chr19	24377522	24381103
chr3	46875823	46895930
chr4	3982651	4024196
chr4	4107151	4122048
chr8	3495399	3517338
chr8	86117579	86129162
chr8	143274620	143275497
chr9	98280644	98316380
chr9	130804955	130809260
chr10	9357169	9376456
chr11	34536054	34551725
chr12	118098479	118106341
chr13	107897599	107904858
chr15	72604432	72624061
chr15	74048493	74118435
chr15	89334976	89350034
chr16	21400611	21511460
chr16	68087928	68102652
chr20	23280901	23304099
chr22	23286460	23290818
chr22	32928108	32934402
chr9	130780490	130846744
chr15	60817984	60845268
chr15	89326320	89386786
chr16	30696382	30741576
chr21	15874903	15899137
chr22	23272042	23361040
chr6	437059	534414
chr8	6943663	7157433
chr8	8277723	8437194
chr9	8590111	8610189
chr9	130798724	130806393
chr15	72629987	72673685
chr15	74065776	74108058
chr16	21398151	21479237
chr16	22661778	22665439
chr22	23277359	23314632
chrX	103516923	103994237
chrX	104050750	104567860
chr1	57164672	57243457
chr1	69244226	69483490
chr1	206303278	206412026
chr1	213983415	214022371
chr2	81518377	81643607
chr2	195816848	195867346
chr3	8325896	8346618
chr5	175642647	175695763
chr7	4716383	4773140
chr7	91790219	91848682
chr8	51789140	51984903
chr8	53358744	53580784
chr9	120443390	120479047
chr12	107672999	107729029
chr14	47357414	47475511
chr15	63250888	63333920
chr19	24403080	24905502
chr7	1626365	1636898
chr8	7054417	7176432
chr8	8205522	8339774
chr9	21592229	21596149
chr10	10076954	10080146
chr12	52577268	52581760
chr12	78266654	78269658
chr15	74100885	74103933
chr19	23897233	24333551
chr19	24402049	27599123
chr22	44344422	44354828
chr2	174009701	174016255
chr2	217839317	217855261
chr5	21322901	21359756
chr8	69265516	69283585
chr9	13505336	13516964
chr9	100670828	100681335
chr9	130805642	130817050
chr10	45439922	46232252
chr10	46554219	47434139
chr11	4646117	4674189
chr11	110872661	110908427
chr11	117003172	117023058
chr12	11815188	11824084
chr15	72692139	72705065
chr15	74072182	74105910
chr16	21518303	21523791
chr16	22656933	22667974
chr17	36230986	36339596
chr17	37883714	37967364
chr18	12139695	12159102
chr18	75868248	75874783
chr19	14667317	14671310
chr20	24412715	24414085
chr22	23283134	23298466
