chr9	37921279	37947758	WT
chrX	31969384	31987209	WT
chr2	160696673	160723740	WT
chr13	86383343	86406977	WT
chr10	77471377	77475244	WT
chr16	50564816	50661555	WT
chr4	103937945	103960970	WT
chr8	41568190	41599537	WT
chr9	97079041	97562421	WT
chr13	86383343	86406977	WT
chr10	75752236	75767319	WT
chr15	75150213	75175192	WT
chr8	41216463	41340275	WT
chr2	159226415	159330320	WT
chr6	106483246	106526708	WT
chr4	87786726	87818584	WT
chr8	36732087	37330229	WT
chr10	76156987	76217690	WT
chr1	45522066	45698539	WT
chr5	97506526	97524943	WT
chr7	34989316	35027651	WT
chr19	51791228	51814106	WT
chr1	83770245	83780433	WT
chr7	35887288	36006944	WT
chr16	51821722	51834712	WT
chr7	35104608	35113164	WT
chr10	77482896	77511930	WT
